title,link,time
"팔릴 수 밖에 없는 글쓰기, 내 가치를 열 배 이상으로 불리는 방법",https://class101.net/ko/products/5fe976c97bc0a0000d07458a,0 days 04:29:35
성우 이용신의 인생을 바꿀 [목소리 연기]의 모든 것,https://class101.net/ko/products/606180a0cb18e5000e56e990,0 days 06:25:36
수수진과 함께 애플 기본프로그램으로 도전하는 독립출판,https://class101.net/ko/products/5c5d780774eabcfdafd3913a,0 days 03:15:05
20년차 방송작가의 '글 쓰는 게 만만해지는 하루 10분 메모 글쓰기',https://class101.net/ko/products/5e33f3b401d4cd0e8b90fee0,0 days 03:40:44
8년차 에디터에게 배우는 '잘 팔리는' 콘텐츠 제작법,https://class101.net/ko/products/5d90a088585f89799a0f2700,0 days 03:04:01
"요즘 작가가 알려 주는 요즘 대본, 공모전 시나리오 완성하기",https://class101.net/ko/products/5f956711188cf2001a6299cd,0 days 05:21:11
"🧠 대중의 뇌를 사로잡는 스토리창작의 비밀(웹툰,웹소설,TV드라마,영화,게임시나리오)",https://class101.net/ko/products/606e2ce995f580000e2da439,1 days 01:52:56
하루 10분 보이스 코칭! 전직 기상캐스터의 목소리 교정 클래스,https://class101.net/ko/products/5ee38a573ed5780dbe5af46d,0 days 09:12:12
"<금혼령, 조선혼인금지령> 작가에게 배우는 절대 막히지 않는 웹소설 & 플롯 설계",https://class101.net/ko/products/614274f788b34a0014fba0f8,0 days 07:02:31
꾸준한 글쓰기를 도와드립니다 : 지속하는 글쓰기가 책 출간까지,https://class101.net/ko/products/5d2dbda9125d26d5fbd06cb9,0 days 02:27:21
매력적인 글이란 무엇일까? 독자를 설득하는 글쓰기,https://class101.net/ko/products/5dff8d81adf58b232b9df791,0 days 05:17:08
실무에 바로 쓰는 일잘러의 보고서 작성법,https://class101.net/ko/products/5e1d9de53c3dae0db3f78430,0 days 03:46:41
잘 팔리는 여성향 웹소설 쓰기! 작가 실전 트레이닝,https://class101.net/ko/products/5f585433f70944000cda6d15,0 days 03:27:41
29CM 헤드카피라이터 출신 이유미의 팔지않아도 사게 만드는 카피라이팅,https://class101.net/ko/products/5e141960e512560d7b15f928,0 days 04:26:57
한 시간 210억 파는 장문정의 당장 돈되는 상품언어 마케팅,https://class101.net/ko/products/5e255e897fc1f7110143ef27,0 days 08:50:54
현직 발성 전문 트레이너에게 배우는 당당한 스피치 발성법,https://class101.net/ko/products/6014198862c2ce0014a4c418,0 days 05:41:49
"빅히트, SM, JYP 작사가가 알려주는 프로 작사가가 되는 법",https://class101.net/ko/products/5fffe52015b0ca000ecead35,0 days 04:40:28
웹소설 1타 강사가 알려주는 입체적 캐릭터 창작,https://class101.net/ko/products/616083637860bf000d032eb8,0 days 06:38:28
이론 강의와 작법서에 많이 지치셨죠. 진짜 창작할 수 있는 힘을 길러드립니다.,https://class101.net/ko/products/612e5b792fff17001493d94e,0 days 06:38:31
대한민국스토리공모대전 수상작가 홀리호의 <누구나 쉽게 시작하는 시나리오/공연/소설 글쓰기>,https://class101.net/ko/products/627c6e20a672da00159def9b,0 days 03:45:28
