,이름,빈도수
0,격차,70380
1,끝내,48364
2,올인원,48353
3,개발,18976
4,데이터,16078
5,배우,14606
6,프로젝트,12574
7,실무,11927
8,러닝,10369
9,분석,10352
100,RED,10338
10,아카데미,10167
11,디자인,9620
12,일러스트,8908
13,활용,8365
101,Spring,7883
14,완성,7631
15,프론트엔드,6819
16,편집,6805
102,Java,6770
17,영상,5926
18,캐릭터,5837
19,만드,5829
20,완전,5812
21,마스터,5763
22,정복,5701
23,구축,5684
24,필수,5525
25,파이썬,5332
26,엔드,4962
27,서비스,4865
28,네오,4815
29,마케팅,4604
30,금융,4603
31,처리,4440
32,컴퓨터,4356
33,구현,3873
34,인공지능,3805
103,React,3800
35,캐주얼,3777
36,엑셀,3731
37,스킬,3730
38,부동산,3668
39,머신,3556
40,코딩,3411
41,제작,3370
104,Z,3320
42,개발자,3258
43,투자,3233
44,오상,3207
45,기반,3136
46,스프링,3122
47,그래픽,3114
105,UX,3097
48,모션,3069
106,Kotlin,3054
49,작가,2955
50,기초,2947
107,MSA,2942
108,UI,2942
51,심화,2892
52,모음,2890
109,zip,2890
53,업무,2883
54,초보,2793
55,드로잉,2788
56,실전,2773
57,모델,2772
58,비전,2766
59,시작,2746
60,이펙트,2731
61,디지털,2729
62,운영,2704
63,공학,2614
65,마스터클래스,2569
64,여자,2569
66,세계,2547
67,단기,2543
110,DevOps,2522
111,Kit,2500
68,비즈니스,2485
69,구글,2470
70,정석,2466
71,유치원,2454
72,그리,2439
112,Android,2370
73,입문,2351
74,게임,2329
113,Kubernetes,2317
75,테스트,2282
114,AWS,2279
76,기술,2243
77,합격,2224
115,iOS,2190
78,글쓰기,2166
116,PPT,2146
79,클래스,2087
80,아이패드,2054
81,가장,2053
82,나만,2053
83,가지,2043
84,자동,1986
85,프리미어,1977
86,밀착,1941
117,Docker,1933
87,확장,1932
88,만들,1897
89,수강,1872
90,기획,1859
91,인프라,1847
118,js,1844
92,김영하,1835
93,남궁,1811
119,CLASS,1793
94,직장인,1779
120,star,1776
121,GA,1773
95,컨테이너,1766
96,끝장내,1765
97,시그,1747
98,세상,1718
99,대용량,1710
122,Red,1448
123,Swift,1326
124,SQLD,1259
125,Live,1241
126,Essential,1236
127,Spark,1169
128,Financial,1106
129,Modeling,1106
130,SQL,1081
131,C,1056
132,IB,980
133,Next,911
134,TypeScript,906
135,node,844
136,Online,842
137,SNS,813
138,MLOps,809
139,PF,728
140,JavaScript,701
141,SUPER,694
142,Coroutines,692
143,Flow,692
144,SD,682
145,Kafka,658
146,Hadoop,650
147,red,606
148,Signature,594
149,Native,575
150,YouTube,570
151,PM,570
152,GPT,567
153,B,539
154,TDD,533
155,Flink,519
156,HTML,495
157,CSS,495
158,Creative,491
159,BERT,457
160,AI,439
161,Elasticsearch,434
162,Redux,420
163,MD,415
164,Boot,400
165,CKA,384
167,CKS,384
166,CKAD,384
168,feat,356
169,Jetpack,356
170,Compose,356
171,SEO,355
172,Redis,350
174,Management,336
173,Product,336
175,Meta,334
176,Human,334
177,Pose,334
178,Estimation,334
179,Solana,329
180,Rust,329
181,Lv,329
182,Design,318
183,SEM,314
184,VR,312
185,AR,312
186,DEEP,311
187,DIVE,311
188,GNN,306
189,OUKO,294
190,IREN,287
191,Istio,286
192,Area,277
193,Chair,277
194,Neural,277
195,Fields,277
196,R,271
197,Transformer,266
198,UXUI,265
199,Solidity,263
