코스(상품) 이름,count
test_qa,1
올인원 패키지 : 디자인 툴,1
재수강용: 올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 기초 (수강시간 제한),1
올인원 패키지 : 그로스 마케팅,1
합격 패스 : 정보처리기사 필기&실기,1
올인원 패키지 : 앱/웹 서비스 기획,1
커리어 가이드 : 마케터 편,1
올인원 패키지 : 엑셀 실무 마스터,1
올인원 패키지 : 디지털 마케팅 MAX 2020,1
AI/Data Science Conference : AI Explorer 22 VOD 판매,3
AI/Data Science Conference : AI Explorer 22,5
글로벌 엑스퍼트 : 바이오 데이터사이언스(Bioinformatics),5
REC.ON : AI,7
"닷밀 미디어아트 그래픽 클래스: 음악, 공간, 감각으로 익히는 미디어아트 심화",8
초격차 패키지: 36개의 프로젝트로 완성하는 M&A 실무,20
"닷밀 미디어아트 그래픽 클래스: 홀로그램, 파사드, 아나몰픽으로 배우는 미디어아트 기본",22
The RED : FX 슈퍼바이저 김장형의 후디니 디스트럭션 : RBD Simulation ,24
 UX Explorer : UXUI Design Conference 2022 VOD 판매,25
CLASS : 프로덕트 고속 성장을 위한 디지털 마케팅 온보딩 클래스,32
REC.ON : Autonomous Vehicle,34
CLASS : 초보자도 쉽게 따라할 수 있는 인물 수채화,35
[Kit] 입문자를 위한 풀스택 웹 개발 Kit : 기획부터 프로젝트까지,36
CLASS : 폭발적 성과를 내는 콘텐츠 제작 바이블 by.김도현,38
매력적인 모델링과 감각적인 렌더링으로 배우는 캐릭터 TD의 블렌더 테크닉,39
올인원 패키지 : C#으로 하는 인공지능 게임 제작 : 강화학습 에이전트를 사용한 보드게임 제작 실습,40
지금 우리 일상을 공포로 물들이는 웹툰 스토리텔링 by. 주동근,41
sudo : Tech Leader's Talk 2022 VOD,41
올인원 패키지 : 검색 최적화(SEO) 운영/전략,41
빵형의 수학 없이 뽀개는 인공지능 입문,42
초격차 패키지 : 한 번에 끝내는 자연어 처리,43
올인원 패키지 : 유전 알고리즘을 활용한 머신러닝 입력 최적화 및 대안 제안 메소드,45
CLASS : 색의 온도를 담아 표현하는 송블리의 색연필 인물화,46
올인원 패키지 : 스타트업 마케터로 살아남기 퍼포먼스 마케팅 Kit,47
올인원 패키지 : FAST MBA 2020,47
올인원 패키지 : 코딩 첫 걸음 프로젝트,47
부동산 디벨로퍼 아카데미 : 부동산 마케팅,48
네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,48
"차원이 다른 캐주얼 캐릭터: 2D에서 3D로, 블렌더 모델링",49
올인원 패키지 : 프리프로덕션부터 배우는 모션 그래픽 프로젝트 완성,51
글로벌 DeFi 팀과 DeFi Deep Dive,54
초격차 패키지 : 한 번에 끝내는 Spring 완.전.판,55
The RED : 개발자로 살아남기 : 30년을 주도하는 9가지 필수 기술 by 박종천,55
The RED : 고객 경험을 개선하는 A/B테스트 기반 모바일 앱 개발 by 이승민,55
AWS/GCP/Azure 데이터 파이프라인 구축과 하이브리드&멀티 클라우드 활용,56
The RED : Youtube 알고리즘 개발자 이준석의 추천시스템 마스터 클래스,61
올인원 패키지 : 소비자 리서치와 보고서 작성,62
The RED : Snowflake를 활용한 클라우드 데이터 엔지니어링,63
CLASS : 연필과 지우개로 그리는 나만 알고 싶은 인물화,64
The RED : SOCAR 김상우 HEAD의 비즈니스의 운명을 바꾸는 Dynamic Pricing,65
The RED : 1조 기업 가치를 만들어 낸 경영 원칙 by 신현성,69
CLASS : 초보도 가능한 일러스트레이터 : 6가지 예제로 완성하는 디자인 기본기 ,69
The RED : 데이터 사이언티스트 하용호,72
글로벌 판매 1위 ZDE의 제페토 아이템 제작과 수익화,75
올인원 패키지 : 랜선사수 피도리와 함께하는 생존 PPT 마스터,75
옥테인으로 만드는 뉴디멘션: Vectron 프랙탈 아트웍,75
부동산 디벨로퍼 아카데미 : 상업용/숙박용 부동산 개발 The Real,77
올인원 패키지 : 프로젝트와 함께 배우는 R 데이터 분석,77
CLASS : 살다가 재미있는 생각이 나면 아이패드로 그려봅시다,77
올인원 패키지 : 박민수에게 배우는 직장인 초현실 투자 전략,78
올인원 패키지 : 화사한 색감과 빛의 미소년 일러스트,78
글로벌 엑스퍼트: 캐글 1위와 풀어보는 머신러닝 입문 트레이닝,82
The RED: ILM 리드 모델러와 만드는 판타지 캐릭터: Dragon and Nun,82
올인원 패키지 : 연봉도 배우면 바뀐다! 협상왕의 12가지 시스템 불패 전략,83
부동산 디벨로퍼 아카데미 : 주거용 수익형 부동산 개발,84
"백엔드 개발 마스터 Kit with Java, Spring, Kotlin",85
REC.ON : VC,86
업계 TOP 세무사와 부동산 세금 고민 끝장내기,87
초격차 패키지 : 21개 프로젝트로 완성하는 인터랙티브 웹 개발 with Three.js & Canvas,89
The RED : 탑 아티스트가 선택한 디렉터 : 권오준이 알려주는 영상 연출의 모든 것,90
네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,90
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",92
초격차 패키지 : 나만의 애정하는 인물 드로잉,93
상가 대통령 김인만의 상가 투자 풀코스 패키지,97
매치무브 온보딩 :Maya와 3D Equalizer로 배우는 헐리우드 매치무브,97
애프터이펙트 플러그인을 활용한 모션그래픽 아트워크,99
올인원 패키지 : 해외소싱으로 온라인 커머스 정복하기,100
The RED : 픽사 라이팅 아티스트에게 배우는 빛과 색의 비주얼 스토리텔링 by 이민형,101
초격차 패키지 : 나만의 특별한 일상과 여행 드로잉,101
The RED : 프론트엔드 개발자 김태곤,102
올인원 패키지 : iOS 앱 개발,102
올인원 패키지 : 디자인의 차이를 만드는 서체 활용법 by 산돌 서체 디자이너,104
초격차 패키지 : 모델 구현으로 끝내는 GAN 완전정복,104
The RED : AI 대학원 서민준에게 배우는 자연어처리 : 대형언어모델&퓨샷러닝,105
"해외주식명저로 배우는 글로벌 Top 헤지펀드, 퀀트 투자 전략",107
올인원 패키지 : 구글 Material Design 시스템을 활용한 Youtube for Learning 앱 디자인 프로젝트,108
The RED : 국내 최대 규모의 올인원 프로덕션 : 쟈니브로스에게 배우는 뮤직비디오 제작 바이블,109
The Red : GPT3 거대모델과 블록체인의 결합: AINFT & Web 3.0의 미래,110
올인원 패키지 : 1억 8천만명을 움직이는 실리콘밸리 슈퍼우먼이 알려주는 대체 불가 관리자로 성장하는 법,112
올인원 패키지 : 바다가 알려주는 감성가득 영상 제작,113
The RED : 카카오페이지 기술전략이사 윤진석,115
The RED : UX디자인의 정석 2022,116
The Red : Google 출신 엔지니어와 고성능 검색엔진 만들기 with Elasticsearch,116
올인원 패키지 : 머신러닝 최적화를 위한 Genetic Algorithm,118
네오아카데미: 3명의 아트디렉터에게 배우는 일러스트 스타터 kit,120
올인원 패키지 : 누적 조회수 12억! 우감독의 재미있는 영상 편집,121
올인원 패키지 : 박담 작가와 함께 남자 캐릭터 드로잉,121
[Kit]집에 있는 카메라로 시작하는 Photography : 감성사진부터 상업사진까지 Creative Kit,125
The RED : 우버처럼 하는 머신러닝 의사결정 by 정종빈,126
The RED : 최고제품책임자(CPO) 윤희경,128
올인원 패키지 : 아파트 말고 부동산 재테크 시작하기,130
